GrainID	O11	O12	O13	O21	O22	O23	O31	O32	O33	X	Y	Z	a	b	c	alpha	beta	gamma	DiffPos	DiffOme	DiffAngle	GrainRadius	Confidence	eFab11	eFab12	eFab13	eFab21	eFab22	eFab23	eFab31	eFab32	eFab33	eKen11	eKen12	eKen13	eKen21	eKen22	eKen23	eKen31	eKen32	eKen33	RMSErrorStrain	PhaseNr	Eul0	Eul1	Eul2
10000	0.393490	-0.237384	0.888152	-0.236521	0.907426	0.347325	-0.888382	-0.346736	0.300917	-402.182833	-403.884003	205.305335	2.926181	2.929421	4.679260	89.993935	90.020518	119.962471	173.271409	0.123372	0.120390	57.225097	0.968085	-184.908175	-128.269028	-44.884597	-128.269028	1053.625907	-721.573030	-44.884597	-721.573030	1266.495441	-477.474604	-854.751169	-272.175448	-854.751169	905.958341	-652.098633	-272.175448	-652.098633	1036.811848	696.228964	1.000000	111.358734	72.487322	248.679269	
9949	0.406228	-0.095358	0.908788	-0.609606	0.712592	0.347271	-0.680712	-0.695071	0.231343	446.837948	88.223218	146.243606	2.926751	2.929577	4.682373	89.959030	90.092805	119.980682	159.703381	0.121378	0.116012	41.983768	0.845745	823.479728	-830.182481	241.882400	-830.182481	736.214221	564.441240	241.882400	564.441240	1304.341134	-240.638936	-983.262434	-404.670919	-983.262434	976.968530	344.504999	-404.670919	344.504999	971.767099	474.582791	1.000000	0.000000	0.000000	0.000000	
9946	0.553487	-0.072544	-0.829697	-0.362008	0.876218	-0.318110	0.750073	0.476426	0.458713	-305.520745	-325.585816	-152.804494	2.931095	2.928599	4.675879	90.003071	90.038528	119.988664	172.089823	0.130601	0.119198	54.435607	0.951087	-25.385916	-183.632460	1261.094862	-183.632460	1373.570520	677.555493	1261.094862	677.555493	1199.636064	-330.260296	-555.641996	1030.870018	-555.641996	674.177007	328.890270	1030.870018	328.890270	885.033574	1142.440772	1.000000	0.000000	0.000000	0.000000	
9950	0.256843	-0.397067	-0.881118	0.256076	0.907077	-0.334120	0.931910	-0.139817	0.334656	-387.316248	-165.516912	65.353702	2.928333	2.928611	4.673163	89.990948	89.998462	120.004402	152.034522	0.134287	0.125063	112.456950	1.000000	-837.389220	-875.891341	720.162155	-875.891341	860.873654	273.066622	720.162155	273.066622	845.197596	-532.976164	-485.377544	451.054348	-485.377544	959.790778	21.170641	451.054348	21.170641	1018.316134	763.248244	1.000000	0.000000	0.000000	0.000000	
10010	0.293357	-0.248209	0.923226	-0.359139	0.866362	0.347043	-0.885987	-0.433373	0.165012	-303.480519	315.556775	-220.585353	2.927898	2.924094	4.669694	89.925242	90.052586	119.936139	327.826193	0.142635	0.168000	37.102759	0.803191	-2340.366146	-445.520337	278.961612	-445.520337	526.271763	-836.516316	278.961612	-836.516316	935.433373	-586.760818	-1105.755990	193.738952	-1105.755990	651.546912	-886.991327	193.738952	-886.991327	922.877986	1555.379789	1.000000	0.000000	0.000000	0.000000	
10011	0.078855	-0.337026	-0.938187	-0.154575	0.925602	-0.345497	0.984829	0.172264	0.020893	443.333230	443.534224	-233.739283	2.926688	2.930266	4.664869	90.072739	89.998927	119.952255	247.390292	0.137915	0.142924	39.446791	0.808511	-2139.065233	-2238.654479	507.445742	-2238.654479	956.483262	-435.010784	507.445742	-435.010784	806.909754	-473.903548	-1210.561048	221.215650	-1210.561048	1175.497492	89.002664	221.215650	89.002664	320.926193	750.308987	1.000000	110.913295	76.623820	224.401646	
10012	0.085611	-0.333467	0.938867	-0.229646	0.910349	0.344278	-0.969502	-0.245081	0.001357	436.498081	-249.660751	147.507724	2.927650	2.926511	4.673257	89.943743	89.998283	120.024291	211.480142	0.140025	0.135448	36.704917	0.808511	-1448.484022	-378.125465	-499.811575	-378.125465	687.812989	158.355820	-499.811575	158.355820	496.433354	-677.108672	-1027.033552	2.478929	-1027.033552	1145.371045	37.334976	2.478929	37.334976	962.875303	1054.613531	1.000000	0.000000	0.000000	0.000000	
9958	0.201109	-0.295123	-0.934054	-0.279731	0.896528	-0.343495	0.938779	0.330364	0.097745	-421.538846	-65.734329	-59.738472	2.929532	2.929286	4.669121	90.018676	89.967571	120.069803	184.540469	0.114380	0.110280	45.505090	0.867021	-1968.697142	-1182.759506	217.569943	-1182.759506	1432.828019	-261.963512	217.569943	-261.963512	520.482162	-233.187467	-874.523334	212.109572	-874.523334	1461.934788	-123.202674	212.109572	-123.202674	484.161245	435.914901	1.000000	0.000000	0.000000	0.000000	
10015	0.201551	-0.295095	-0.933968	-0.280829	0.896094	-0.343731	0.938356	0.331565	0.097737	-400.284060	-64.711969	-55.090250	2.927464	2.929205	4.670663	89.936803	89.995444	120.025489	207.179832	0.118109	0.117893	45.208839	0.867021	-2039.310454	-563.452492	15.849883	-563.452492	1349.064896	264.967249	15.849883	264.967249	717.073283	-271.055667	-910.104784	185.463659	-910.104784	1473.787981	-80.770388	185.463659	-80.770388	528.571364	490.624905	1.000000	290.977220	62.695889	57.577213	
10017	0.316676	-0.269424	-0.909465	0.091121	0.963018	-0.253561	0.944147	-0.002575	0.329515	-394.007329	350.802201	152.731637	2.929794	2.929053	4.680249	89.892744	90.025245	120.029393	194.789771	0.118626	0.114020	33.926396	0.804348	629.900802	-1204.325629	173.636881	-1204.325629	768.905565	45.147609	173.636881	45.147609	1380.332763	-270.294090	-220.491367	629.637850	-220.491367	604.672075	415.288418	629.637850	415.288418	1266.429919	503.950891	1.000000	290.766703	70.448376	98.532583	
10019	0.286066	-0.190977	-0.938992	-0.704336	0.622499	-0.341192	0.649684	0.758965	0.043563	-332.941009	14.144671	-5.761396	2.925133	2.930784	4.676503	90.045864	89.971805	119.991206	136.837795	0.150527	0.127991	60.607392	0.984043	-174.801244	-1120.084340	377.664956	-1120.084340	1118.276433	-826.349867	377.664956	-826.349867	420.462520	-163.465464	-1279.286419	177.887500	-1279.286419	1295.045961	-462.102816	177.887500	-462.102816	585.631830	554.617546	1.000000	110.601535	80.502086	243.934609	
10020	0.342118	-0.246864	0.906649	0.032246	0.967389	0.251235	-0.939103	-0.056716	0.338922	453.455605	-356.211091	-168.363648	2.929113	2.924950	4.671209	90.069577	90.041177	119.892028	169.818261	0.131458	0.121748	37.495260	0.804348	-1910.537771	-161.373095	-1009.964614	-161.373095	116.727892	612.882399	-1009.964614	612.882399	2390.039239	-704.157181	-528.164736	-650.666150	-528.164736	-34.437640	196.659460	-650.666150	196.659460	1926.340356	538.742426	1.000000	290.216731	88.802858	80.078334	
10021	0.149541	-0.228094	-0.962094	-0.350436	0.897638	-0.267287	0.924579	0.377122	0.054301	142.979665	-374.030357	128.330766	2.927617	2.923622	4.676315	90.004793	90.045874	120.004797	209.687297	0.120162	0.124889	75.819355	1.000000	-904.653953	219.180583	288.666403	219.180583	-237.936485	610.267984	288.666403	610.267984	729.845329	-711.529139	-206.872749	475.631618	-206.872749	1392.213422	-90.134282	475.631618	-90.134282	792.314525	778.818290	1.000000	110.137760	89.922277	255.813344	
10025	0.386468	-0.319670	0.865132	0.253453	0.938710	0.233636	-0.886794	0.128977	0.443803	107.361749	2.229303	235.730969	2.928501	2.928627	4.678651	90.004587	89.991555	119.992180	153.619780	0.115967	0.106586	43.301584	0.856383	140.778035	-279.422267	-664.226001	-279.422267	1145.483563	-89.911264	-664.226001	-89.911264	941.451437	-96.347574	-727.760903	-735.031742	-727.760903	1038.319004	-240.795823	-735.031742	-240.795823	1361.505929	701.919754	1.000000	290.190788	84.390664	70.612590	
10026	0.127875	-0.253007	-0.958976	-0.039262	0.964865	-0.259796	0.991013	0.070873	0.113448	444.137685	467.712199	89.127171	2.931006	2.927276	4.663480	89.853965	90.026818	120.020406	282.540806	0.140919	0.145681	47.367369	0.829787	-2626.287822	-2245.054111	177.543757	-2245.054111	-102.548322	-442.862327	177.543757	-442.862327	1820.325600	-1107.578463	-788.887858	409.787792	-788.887858	946.930835	-696.858761	409.787792	-696.858761	1642.924575	1237.497699	1.000000	0.000000	0.000000	0.000000	
10027	0.090230	-0.329825	0.939720	-0.009005	0.943260	0.331932	-0.995880	-0.038412	0.082141	467.805756	-173.663728	-159.063208	2.930587	2.927191	4.681808	90.152927	89.859389	120.006707	259.299411	0.216073	0.196820	35.132029	0.805556	1398.469117	-1171.084860	-771.386165	-1171.084860	-127.600515	66.951471	-771.386165	66.951471	1702.524811	-67.013336	-938.039253	-598.562890	-938.039253	-370.722546	246.589162	-598.562890	246.589162	1703.145087	1471.133119	1.000000	290.205283	84.391116	70.539305	
10032	0.252441	-0.295094	-0.921517	-0.065011	0.945037	-0.320435	0.965426	0.140799	0.219382	-371.250935	-86.430056	-78.359557	2.927274	2.928214	4.674329	89.993528	89.947676	119.975216	189.448635	0.150546	0.154700	43.989562	0.819149	-1113.288626	-728.605232	70.149832	-728.605232	956.722378	-302.793700	70.149832	-302.793700	1070.089521	-26.227410	-535.973478	642.625064	-535.973478	1023.895181	-303.197470	642.625064	-303.197470	1041.110236	1203.292340	1.000000	0.000000	0.000000	0.000000	
10035	0.019234	-0.254163	-0.966970	0.067334	0.965283	-0.252380	0.997545	-0.060256	0.035680	437.319501	-222.623145	-101.623510	2.928180	2.928908	4.681873	89.850757	90.030058	119.957145	225.087606	0.125831	0.126440	50.601422	0.888889	1080.897224	-1391.759890	-446.989616	-1391.759890	681.400891	400.392093	-446.989616	400.392093	1489.439542	-505.454940	-991.307698	240.729463	-991.307698	711.921951	564.965856	240.729463	564.965856	1612.434459	1075.139803	1.000000	285.578569	70.760661	90.156277	
10036	0.244265	-0.260824	-0.933973	0.098086	0.964854	-0.243795	0.964735	-0.032059	0.261263	-416.811844	385.822569	-91.479383	2.927281	2.925268	4.679203	89.990857	89.938982	119.970169	152.304734	0.126262	0.117429	44.909855	0.836957	-348.592880	-189.779634	-276.092019	-189.779634	28.108727	49.618939	-276.092019	49.618939	1321.636317	-404.237736	-393.370808	276.616454	-393.370808	396.673448	145.493235	276.616454	145.493235	1488.217948	579.910605	1.000000	0.000000	0.000000	0.000000	
10038	0.213489	-0.189908	0.958310	-0.319438	0.913436	0.252179	-0.923245	-0.359958	0.134345	-46.950285	479.778428	9.470080	2.927418	2.929161	4.673078	89.967851	89.946134	119.960149	220.626271	0.132062	0.130570	40.791474	0.813830	-818.085942	-1231.274777	-886.106718	-1231.274777	1278.334833	19.201915	-886.106718	19.201915	710.387168	-1083.654707	-363.724499	-513.317347	-363.724499	907.661667	-435.744456	-513.317347	-435.744456	1141.258462	1245.896063	1.000000	289.969254	87.503233	40.563431	
10039	0.256229	-0.220288	-0.941180	-0.446063	0.836864	-0.317310	0.857540	0.501130	0.116167	254.839890	178.492746	167.694780	2.927280	2.927573	4.671703	90.097496	89.963586	119.964315	133.356356	0.117303	0.114474	57.420096	0.945652	-1001.464070	-1581.357115	41.027416	-1581.357115	430.005342	-182.532362	41.027416	-182.532362	815.968605	-680.902392	-1479.834354	-88.647845	-1479.834354	505.344121	-258.371031	-88.647845	-258.371031	877.323900	880.436549	1.000000	105.488168	70.188785	266.543900	
10155	0.357781	-0.121286	0.925901	-0.305431	0.921792	0.238774	-0.882448	-0.368227	0.292755	374.681813	374.113225	-33.761119	2.928525	2.927178	4.682056	89.909079	89.983080	119.936359	269.255025	0.128110	0.136969	35.787888	0.803191	6.902073	757.164074	-96.136532	757.164074	2050.115204	-353.607023	-96.136532	-353.607023	971.639934	-758.692292	-418.225586	8.814170	-418.225586	1177.554085	-288.181115	8.814170	-288.181115	1041.842935	1233.787984	1.000000	285.526391	86.887251	67.810028	
10042	0.212794	-0.229372	0.949793	-0.024321	0.970512	0.239825	-0.976794	-0.074133	0.200940	380.552489	-105.370863	16.842018	2.931405	2.928531	4.678323	89.910035	89.955986	120.108363	475.772677	0.273031	0.298172	43.459147	0.804348	374.898868	-750.600996	-721.666696	-750.600996	681.343430	-1598.217177	-721.666696	-1598.217177	883.466765	-381.238182	-774.581005	-497.839277	-774.581005	507.274454	713.249059	-497.839277	713.249059	1508.644316	2019.367139	1.000000	0.000000	0.000000	0.000000	
10043	0.245044	-0.214974	-0.945378	-0.518970	0.794558	-0.315196	0.818916	0.567860	0.083137	262.481259	142.628307	226.995988	2.926743	2.925610	4.670536	90.128925	89.925590	119.899547	148.122997	0.117074	0.106519	53.571630	0.934783	-1209.881370	-1804.256476	-215.465680	-1804.256476	462.971442	-967.122042	-215.465680	-967.122042	537.746528	-679.746650	-1283.254686	87.025185	-1283.254686	770.137248	-451.558234	87.025185	-451.558234	872.228629	374.918253	1.000000	0.000000	0.000000	0.000000	
