Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,0.056436117,0.056838534,0.043359983,0.052839109,0.060512719,0.071329756,0.124553521,0.163885751,0.177104879,0.249835882,0.191031477,0.165535899,0.15491035
Albania,0.658219258,0.687343418,0.424902227,0.351791209,0.262113083,0.245535272,0.213628615,0.180456881,0.185457991,0.276571969,0.253325064,0.244879009,0.263770218,0.28284889,0.253783871,0.240822795,0.198571352,0.181730632,0.180389562,0.169668542,0.163956481,0.176700458,0.160827215,0.165472504,0.175744949
Algeria,0.447152303,0.449604356,0.437763205,0.448097184,0.465363137,0.484231075,0.465443775,0.407093983,0.469241372,0.385577504,0.346757754,0.315753418,0.31420336,0.293091244,0.264476346,0.293531108,0.263974728,0.269189833,0.259858874,0.279519544,0.261730659,0.253370959,0.257951817,0.255172661,0.260914228
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,0.139737171,0.133167757,0.141162391,0.201628409,0.131229711,0.315292327,0.259842665,0.168067608,0.157172593,0.189972312,0.187892721,0.179964941,0.202844948,0.138389971,0.251810597,0.216398713,0.218864343,0.211177975,0.190470962,0.202604462,0.199684145,0.197384628,0.19641388,0.179613207,0.179228057
Antigua and Barbuda,0.398259463,0.357438827,0.340740412,0.324942895,0.294207992,0.309555653,0.304165876,0.297674123,0.291101021,0.286239553,0.274083293,0.285181833,0.295446524,0.297862515,0.286786518,0.26590891,0.236783229,0.223256561,0.22419708,0.268610836,0.294351019,0.288272839,0.279121568,0.274592904,0.261101093
Argentina,0.465866914,0.431142729,0.404724863,0.355059681,0.340947665,0.359325091,0.352772112,0.327909991,0.316337207,0.339311392,0.32349811,0.311547458,0.321012826,0.313597826,0.326799818,0.299509173,0.291177333,0.259742594,0.264324371,0.265342507,0.248701721,0.234357748,0.233208226,0.220889001,0.238975967
Armenia,,,1.247939911,0.586324526,0.576693185,0.665857727,0.464238853,0.557338263,0.534021962,0.45681016,0.485063023,0.442875668,0.330958222,0.320963148,0.300785271,0.305918917,0.264080936,0.261277523,0.263186359,0.238620299,0.223224117,0.243526837,0.258133561,0.237038521,0.225901575
Aruba,1.09432735,1.006778845,0.808136317,0.802048221,0.734082329,0.725049509,0.712947458,0.676027669,0.674724951,0.661010503,0.790906775,0.807462956,0.831798864,0.841756584,0.775893403,0.772581072,0.741091343,0.736687159,0.681017085,0.746988074,0.731350323,0.690496144,0.370650693,0.223238507,0.220024129
